iter	Passed	Remaining
205	399	1540
206	400	1533
207	401	1527
208	402	1521
209	402	1515
210	403	1509
211	404	1503
212	405	1498
213	406	1492
214	407	1486
215	408	1484
216	410	1480
217	410	1474
218	411	1468
219	412	1463
220	414	1461
221	415	1456
222	416	1451
223	418	1449
224	419	1444
225	428	1468
226	430	1466
227	432	1463
228	433	1458
229	434	1453
230	434	1447
231	435	1442
232	436	1437
233	439	1437
234	439	1432
235	440	1427
236	441	1421
237	442	1416
238	443	1411
239	444	1406
240	444	1401
241	445	1396
242	446	1391
243	447	1386
244	448	1381
245	449	1376
246	449	1371
247	450	1366
248	451	1362
249	453	1361
250	454	1356
251	455	1351
252	456	1347
253	457	1342
254	457	1337
255	458	1333
256	459	1328
257	460	1324
258	461	1319
259	462	1315
260	462	1310
261	463	1306
262	464	1301
263	465	1297
264	466	1293
265	468	1291
266	469	1288
267	470	1284
268	470	1279
269	471	1275
270	472	1271
271	473	1267
272	474	1263
273	475	1259
274	476	1254
275	476	1250
276	477	1246
277	478	1242
278	479	1238
279	480	1234
280	481	1230
281	481	1227
282	484	1226
283	484	1222
284	485	1218
285	486	1214
286	487	1210
287	488	1206
288	489	1203
289	489	1199
290	490	1195
291	491	1192
292	492	1188
293	493	1184
294	494	1181
295	495	1177
296	495	1173
297	496	1170
298	499	1169
299	499	1166
300	500	1162
301	501	1159
302	502	1155
303	503	1152
304	504	1148
305	504	1145
306	505	1141
307	506	1138
308	507	1135
309	508	1132
310	509	1129
311	510	1126
312	512	1124
313	514	1124
314	515	1121
315	516	1118
316	517	1115
317	518	1112
318	519	1109
319	520	1106
320	521	1103
321	522	1100
322	523	1097
323	524	1094
324	525	1090
325	526	1087
326	527	1084
327	529	1084
328	530	1081
329	531	1078
330	532	1075
331	532	1072
332	533	1069
333	534	1066
334	535	1063
335	536	1060
336	537	1057
337	538	1054
338	539	1051
339	540	1049
340	541	1046
341	543	1045
342	544	1043
343	546	1041
344	547	1038
345	547	1035
346	548	1032
347	549	1029
348	550	1026
349	551	1023
350	552	1020
351	552	1017
352	553	1014
353	554	1011
354	555	1009
355	556	1006
356	557	1004
357	559	1004
358	560	1001
359	561	998
360	562	995
361	563	992
362	564	989
363	564	987
364	565	984
365	566	981
366	567	978
367	568	976
368	569	973
369	569	970
370	570	967
371	571	965
372	574	965
373	575	963
374	576	960
375	577	957
376	577	955
377	578	952
378	579	949
379	580	947
380	581	944
381	582	941
382	582	939
383	583	936
384	584	933
385	585	931
386	586	928
387	588	927
388	589	926
389	590	923
390	591	921
391	592	918
392	593	915
393	593	913
394	594	910
395	595	908
396	596	905
397	597	903
398	598	900
399	598	898
400	599	895
401	600	893
402	601	890
403	603	890
404	604	888
405	605	885
406	606	883
407	607	880
408	607	878
409	608	875
410	609	873
411	610	871
412	611	868
413	611	866
414	612	863
415	613	861
416	614	858
417	615	856
418	616	854
419	618	853
420	619	851
421	620	849
422	621	847
423	622	845
424	623	843
425	624	841
426	625	839
427	626	837
428	627	834
429	628	832
430	628	830
431	629	828
432	630	825
433	631	823
434	633	823
435	634	821
436	635	819
437	636	816
438	637	814
439	638	812
440	639	810
441	640	808
442	640	805
443	641	803
444	642	801
445	643	799
446	644	797
447	645	794
448	645	792
449	647	791
450	648	789
451	649	787
452	650	785
453	651	783
454	652	781
455	653	779
456	654	777
457	654	774
458	655	772
459	656	770
460	657	768
461	658	766
462	658	764
463	659	762
464	660	760
465	661	758
466	663	757
467	664	755
468	665	753
469	665	751
470	666	748
